CatalogueNumber,ScientificName,QualifiedScientificName,CommonName,Family,Genus,Species,SpeciesAuthority,Subspecies,SubspeciesAuthority,Variety,VarietyAuthority,Forma,FormaAuthority,Identifier,IDDate,IDNotes,CDC,MuseumCollection,CollectionEventNumber,Collector,CollectorsFieldNumber,CollectionDate,CollectorSiteID,Prov_State,District,LocationName,LocationDescription,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Park_ER_IR,HabitatRemarks,SpecimenNotes,SpeciesAbundance
V186597,Triglochin palustris L.,Triglochin palustris L.,arrow-grass; marsh arrow-grass,Juncaginaceae,Triglochin,palustris,L.,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1999,BE059177, Harvey Janszen,2905,1999-07-03,BS048909,British Columbia,Gulf Islands,Texada Island,bog below Anderson Bay,,,False,10U,5492661,409176,610 m (min.),,"In Carex, Typha latifolia fen with Carex disperma, C. rostrata, Juncus ensifolius, Trientalis arctica, Ranunculus uncinatus, Stellaria calycantha, Montia sibirica, & R. flammula; flat.",HJ: also with Platanthera hyperborea; 50 plants observed.,
V186578,Clarkia purpurea (Curtis) Nels. & Macbr. ssp. quadrivulnera (Dougl. ex Lindl.) H.F. & M.E. Lewis,Clarkia purpurea (Curtis) Nels. & Macbr. ssp. quadrivulnera (Dougl. ex Lindl.) H.F. & M.E. Lewis,small-flowered godetia,Onagraceae,Clarkia,purpurea,,quadrivulnera,(Dougl. ex Lindl.) H.F. & M.E. Lewis,,,,, Harvey Janszen,,,Red,Janszen 1998,BE054944, Harvey Janszen,2890,1998-06-14,BS045723,British Columbia,Gulf Islands,Saturna Island,Brown ridge,48.7666666666667,-123.166666666667,False,10,5402060,488406,320 m (min.),,"On dry, open, S-facing, grassy bluff near ridge line; slope 10% on ridge to 50% downhill; aspect S10W; dom's include Anthoxanthum odoratum.","HJ: ca. 200 plants over 200 x 300m area; Bromus sterilis & B. hordeaceus associates: Vulpia myuros, Aira caryophyllea; F.L. calls it sp. quadrivulnera, April 2000.",
V186350,Triglochin concinna Burtt-Davy var. concinna,Triglochin concinna Burtt-Davy var. concinna,arrow-grass; graceful arrow-grass,Juncaginaceae,Triglochin,concinna,,,,concinna,,,, Jenifer Penny,,,Blue,Penny 1996,BE054954, Jenifer Penny; Harvey Janszen,68,1996-05-26,BS045730,British Columbia,Gulf Islands,Saturna Island,Church Cove,48.8,-123.183333333333,False,10U,54062,4852,0 m (min.),,"In salt marsh with Salicornia virginica, Distichlis spicata, and Plantago maritima.",JLP: Population in a 50 sq. m dense patch.,
V175175,Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis (L.) Bernh.,fern; fragile fern,Dryopteridaceae,Cystopteris,fragilis,(L.) Bernh.,,,,,,,,,,Not Listed,Janszen 1996,BE041189, Harvey Janszen; Jenifer Penny; Charlotte Norris,2446,1996-05-22,BS035279,British Columbia,Gulf Islands,Galiano Island; Sutil Mountain,,48.8683333333333,-123.377222222222,False,10U,54126,4724,275 m (min.),,"On open SW-facing bluffs dominated by Bromus sterilis, Geranium molle, Psuedotsuga menziesii with Nemophila parviflora, and Allium acuminatum.",,
V185506,Epilobium minutum Lindl. ex Lehm.,Epilobium minutum Lindl. ex Lehm.,small-flowered willowherb; willowherb,Onagraceae,Epilobium,minutum,Lindl. ex Lehm.,,,,,,, Jenifer Penny,,,Not Listed,Penny 1996,BE047319, Jenifer Penny; Charlotte Norris; Harvey Janszen,033,1996-05-22,BS039897,British Columbia,Gulf Islands,Mayne Island,Aitken Point,48.8166666666667,-123.25,False,10U,5408500,481800,1 m (min.),,"On loose, sandstone shale (40 degree S slope) in Douglas-fir forest opening with Koeleria macrantha, Bromus sterilis, Paxistima myrsinites, Collinsia grandiflora et al.",,
V186602,Montia howellii S. Wats.,Montia howellii S. Wats.,Howell's montia; montia,Portulacaceae,Montia,howellii,S. Wats.,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1999,BE054961, Harvey Janszen,2900,1999-04-28,BS045737,British Columbia,Gulf Islands,Saturna Island,"East Point, 150m SE of point on shoreline",48.7833333333333,-123.05,False,10U,5403480,496730,10 m (min.),,"On seepy bare rock outcrop on coastal bluff, on thinly vegetated slope about 5m back from sandstone sea edge with Plantago elongata, Myosurus minimus and Aira praecox; 5% slope S80E.",HJ: 10 plants.,
V107314,Bromus tectorum L.,Bromus tectorum L.,cheatgrass; grass,Poaceae,Bromus,tectorum,L.,,,,,,, Jeffery Saarela,2009-01-01,"IDD:  20090000; Saarela from National Herbarium of Canada (CAN), Canadian Museum of Nature",Not Listed,Janszen 1980,BE050356, Harvey Janszen,1589,1980-04-25,BS042105,British Columbia,Gulf Islands,North Pender Island,Otter Bay Ferry Landing,48.8,-123.316666666667,False,,,,,,waste ground,,
V120173,Bromus tectorum L.,Bromus tectorum L.,cheatgrass; grass,Poaceae,Bromus,tectorum,L.,,,,,,, Jeffery Saarela,2009-01-01,"IDD:  20090000; Saarela from National Herbarium of Canada (CAN), Canadian Museum of Nature",Not Listed,Janszen 1982,BE051033, Harvey Janszen,ER100-2,1982-05-16,BS042688,British Columbia,Thompson-Okanagan,Osoyoos Lake,,49.0333333333333,-119.45,False,,,,,Haynes Lease Ecological Reserve #100,growing on dry soil throughout reserve,,
V186576,Listera caurina Piper,Listera caurina Piper,northwestern twayblade; twayblade,Orchidaceae,Listera,caurina,Piper,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1998,BE054939, Harvey Janszen,2886,1998-05-09,BS045718,British Columbia,Gulf Islands,Saturna Island,,48.7783333333333,-123.154722222222,False,10U,5402840,488640,290 m (min.),Ecological Reserve #15,"In mossy-floored, structural stage 6 Pseudotsuga menziesii forest with much more abundant L. cordata; slope 25% N05E, Tsuga heterophylla, Kindbergia oregana, & Festuca occidentalis.",HJ: CWHxm 03; also with Melica subulata & Galium triflorum; 20 plants mixed with L. cordata.,
V186604,Claytonia parviflora Dougl. ex Hook. ssp. parviflora,Claytonia parviflora Dougl. ex Hook. ssp. parviflora,springbeauty; streambank springbeauty,Portulacaceae,Claytonia,parviflora,,parviflora,,,,,, Harvey Janszen,,,Not Listed,Janszen 1999,BE054950, Harvey Janszen,2899,1999-04-01,BS045728,British Columbia,,Saturna Island,"Brown Ridge, E of Summit",48.7666666666667,-123.166666666667,False,10U,5401990,488680,320 m (min.),,On ledges and in pockets of soil on steep S-facing cliffs with Idahoa scapigera; 60% slope; S aspect.,"HJ: Many plants observed along 400m of ridge slope; both forms in collection, growing intermixed, no habitat difference.",
V186580,Azolla filiculoides Lam.,Azolla filiculoides Lam.,large mosquito fern; mosquito fern,Azollaceae,Azolla,filiculoides,Lam.,,,,,,, Adolf Ceska,,,Not Listed,Janszen 1998,BE054964, Harvey Janszen,2894,1998-09-05,BS045740,British Columbia,Gulf Islands,Saturna Island,in private garden near reservoir,48.7938888888889,-123.182777777778,False,10U,5404552,486570,55 m (min.),,"In Typha latifolia fen and on open mud flats; with Scirpus microcarpus, Chenopodium rubrum, Veronica beccabunga, Atriplex patula, & Oenanthe sarmentosa.","HJ: 4 square m of Azolla in creek, no other colonies found in 2km of creek, pond, and reservoir, possibly imported in with other aquatic garden plants.",
V107405,Bromus vulgaris (Hook.) Shear,Bromus vulgaris (Hook.) Shear,Columbia brome; grass,Poaceae,Bromus,vulgaris,(Hook.) Shear,,,,,,, Jeffery Saarela,2009-01-01,"IDD:  20090000; Saarela from National Herbarium of Canada (CAN), Canadian Museum of Nature",Not Listed,Janszen 1980,BE043036, Harvey Janszen,1751,1980-06-17,BS036559,British Columbia,Gulf Islands,Helen Point; Mayne Island,,48.85,-123.283333333333,False,,,,,,Open fir woods,,
V170751,Carex inops Bailey,Carex inops Bailey,long-stoloned sedge; sedge,Cyperaceae,Carex,inops,Bailey,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1997,BE059328, Harvey Janszen; Pam Janszen; Marie Fontaine,2725,1997-06-21,BS049032,British Columbia,Gulf Islands,Texada Island; Surprise Mountain,S slope of mountain,49.7166666666667,-124.583333333333,False,10U,550886,38587,325 m (min.),,"On steep, open rock outcrop with areas of shallow soil dominated by Koeleria macrantha & Carex inops.",Forming pure stands in seepy areas. Slope: 60%; aspect: 210 S,
V170763,Hypericum formosum auct. non H.B.K. var. scouleri (Hook.) Coult.,Hypericum formosum auct. non H.B.K. var. scouleri (Hook.) Coult.,St. John's-wort; western St. John's-wort,Clusiaceae,Hypericum,formosum,,,,scouleri,(Hook.) Coult.,,, Harvey Janszen,,,Not Listed,Janzen 1997,BE059292, Harvey Janszen; Pam Janszen; Marie Fontaine,2732,1997-06-20,BS049002,British Columbia,Gulf Islands,Texada Island; Grilse Point,,49.8,-124.6,False,10U,551768,38444,3 m (min.),,"In vernal pools, in abandonedlimestone quarries dominated by Juncus ensifolius, J. articulatus & Lycopus uniflorus.",,
V170758,Platanthera dilatata (Pursh) Lindl. ex Beck var. dilatata,Platanthera dilatata (Pursh) Lindl. ex Beck var. dilatata,fragrant white rein orchid; orchid,Orchidaceae,Platanthera,dilatata,,,,dilatata,,,, Harvey Janszen,,,Not Listed,Janzen 1997,BE059347, Harvey Janszen; Pam Janszen; Marie Fontaine,2718,1997-06-20,BS049049,British Columbia,Gulf Islands,Texada Island; Vananda,"Gillies Bay Road, 5.4 kilometers SE of Vananda",49.7166666666667,-124.516666666667,False,10U,550888,38998,110 m (min.),,On seepy roadside ditch. Limestone.,,
V119983,Allotropa virgata Torr. & A. Gray ex A. Gray,Allotropa virgata Torr. & A. Gray ex A. Gray,candystick,Monotropaceae,Allotropa,virgata,Torr. & A. Gray ex A. Gray,,,,,,, Gary Wallace,1997-01-01,,Not Listed,Janszen 1982,BE041144, Harvey Janszen,2225,1982-06-05,BS035236,British Columbia,Gulf Islands,Galiano Island,,48.9333333333333,-123.45,False,,,,,,"Dry rocky outcrop with Pseudotsuga, Arbutus and low Gaultheria shallon.",,
V174867,Chenopodium rubrum L.,Chenopodium rubrum L.,red goosefoot,Chenopodiaceae,Chenopodium,rubrum,L.,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1987,BE054962, Harvey Janszen,02420,1987-09-15,BS045738,British Columbia,Gulf Islands,Saturna Island,fen in Winter Cove Provincial Park,48.8111111111111,-123.187777777778,False,10U,540648,48620,1 m (min.),Winter Cove Provincial Park,"On mud bar with some salt water incursion in drying Typha latifolia, Oenanthe sarmentosa fen",,
V107464,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,popcornflower; slender popcornflower,Boraginaceae,Plagiobothrys,tenellus,(Nutt. ex Hook.) A. Gray,,,,,,, Curtis Bjork,2013-02-01,,Red,Janszen 1980,BE042602, Harvey Janszen,1564,1980-04-08,BS036227,British Columbia,,Gulf Islands; North Pender Island; Oaks Bluff,,48.75,-123.266666666667,False,,,,,,open bluffs,,
V117369,Nasturtium officinale R. Br. in W. Ait.,Nasturtium officinale R. Br. in W. Ait.,common water-cress; water-cress,Brassicaceae,Nasturtium,officinale,R. Br. in W. Ait.,,,,,,,,2013-10-16,,Not Listed,Janszen 1980,BE050398, Harvey Janszen,1677,1980-05-19,BS042146,British Columbia,Gulf Islands,North Pender Island; Prior Centennial Park,,48.7833333333333,-123.283333333333,False,,,,,Prior Centennial Provincial ark,sedge fen at edge of standing water,,
V113759,Anthoxanthum aristatum Boiss.,Anthoxanthum aristatum Boiss.,annual vernalgrass; grass,Poaceae,Anthoxanthum,aristatum,Boiss.,,,,,,, Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE041148, Harvey Janszen,2001,1981-07-07,BS035240,British Columbia,Gulf Islands,Galiano Island,Bellhouse Park,48.9333333333333,-123.45,False,,,,,,"Rocky, mossy slope.",,
V117372A,Bromus sterilis L.,Bromus sterilis L.,barren brome; grass,Poaceae,Bromus,sterilis,L.,,,,,,, Jeffery Saarela,2007-01-01,IDD:  20070000; mixed sheet with B. carinatus Hook. & Arn. var. carinatus,Not Listed,Janszen 1980,BE050354, Harvey Janszen,1670,1980-05-19,BS042103,British Columbia,Gulf Islands,North Pender Island,Oaks Bluff,48.7833333333333,-123.283333333333,False,,,,,,shady talus slopes under fir and arbutus,,
V185499,Psilocarphus tenellus Nutt. var. tenellus,Psilocarphus tenellus Nutt. var. tenellus,slender woolly-heads; woolly-heads,Asteraceae,Psilocarphus,tenellus,,,,tenellus,,,, Harvey Janszen,,,Yellow,Janszen 1996,BE039608, Harvey Janszen,2605,1996-09-11,BS033911,British Columbia,Vancouver Island,Duncan,Somenos Marsh,48.7994444444444,-123.6825,False,10U,540516,44987,10 m (min.),,In hay meadow with Agrostis spp. & Trifolium dubium.,HJ: 250 plants; also with Hypochoeris radicata & Erysimum cheiranthoides.,
V186593,Carex canescens L.,Carex canescens L.,grey sedge; sedge,Cyperaceae,Carex,canescens,L.,,,,,,, Harvey Janszen,,,Not Listed,Janszen 1999,BE059161, Harvey Janszen,2909,1999-07-04,BS048896,British Columbia,Gulf Islands,Texada Island,Angel Lake,,,False,10U,5493680,408160,575 m (min.),,"On gravelly shore, up to 40cm deep with carex kelloggii, Dulichium arundinaceum, C.lasiocarpa, Potamogeton amplexifolius, & Brasenia schreberi; flat.",HJ: 50 plants observed.,
V185052,Nemophila pedunculata Dougl. ex Benth.,Nemophila pedunculata Dougl. ex Benth.,meadow nemophila; nemophila,Hydrophyllaceae,Nemophila,pedunculata,Dougl. ex Benth.,,,,,,, Jenifer Penny,,,Not Listed,Penny 1998,BE054727, Jenifer Penny; George Douglas; Harvey Janszen; Marie Fontaine,252,1998-03-16,BS045545,British Columbia,Gulf Islands,Saltspring Island; Eleanor Point,N of Eleanor Point,48.75,-123.383333333333,False,10U,5400748,471798,15 m (min.),,"On coastal rock outcrops with Selaginella wallacei, Rumex acetosella, Saxifraga integrifolia, Aira sp.; aspect S10 degrees E.",55+ plants in 4m sq.,
V113795,Phragmites australis (Cav.) Trin. ex Steud. ssp. australis,Phragmites australis (Cav.) Trin. ex Steud. ssp. australis,,Poaceae,Phragmites,australis,,australis,,,,,, Kendrick Marr,2011-03-22,,,Janszen 1981,BE041164, Harvey Janszen,2055,1981-07-16,BS035256,British Columbia,Gulf Islands,Galiano Island,lot 84,48.9333333333333,-123.45,False,,,,,,lake edge and Sphagnum bog,,
V170227,Ceratophyllum echinatum A. Gray,Ceratophyllum echinatum A. Gray,hornwort; spring hornwort,Ceratophyllaceae,Ceratophyllum,echinatum,A. Gray,,,,,,, Harvey Janszen,1996-01-01,,Yellow,Janszen 1996,BE041147, Harvey Janszen; Jenifer Penny; Charlotte Norris,2445,1996-05-01,BS035239,British Columbia,Gulf Islands,Galiano Island,,48.9819444444444,-123.552777777778,False,10U,54254,4596,85 m (min.),Galiano Island Ecological Reserve #128,"in open lake dominated by Utricularia vulgaris, Ceratophyllum echinatum with Potamogeton natans",population of 200 plants,
V170079,Ophioglossum pusillum Raf.,Ophioglossum pusillum Raf.,fern; northern adder's tongue,Ophioglossaceae,Ophioglossum,pusillum,Raf.,,,,,,, Harvey Janszen,1996-01-01,,Blue,Janszen 1996,BE049457, Harvey Janszen,2469,1996-07-09,BS041515,British Columbia,Gulf Islands,Narvaez Bay; Saturna Island,,48.7866666666667,-123.115555555556,False,10U,54038,4908,210 m (min.),,"on muddy shore of sedge fen dominated by Ophioglossum pusillum, Equisetum arvense with Veronica scutellata, Carex exsiccata, Galium trifidum & Mentha arvensis",population of 50 stems covering 0.3 m,
V168647,Geranium carolinianum L.,Geranium carolinianum L.,Carolina geranium; geranium,Geraniaceae,Geranium,carolinianum,L.,,,,,,, Harvey Janszen,1996-01-01,,Not Listed,Janszen 1996,BE038532, Harvey Janszen,2458,1996-05-30,BS033042,British Columbia,Gulf Islands,Deadman Islands,rock off E end of islands,48.8483333333333,-123.466666666667,False,10U,54104,4657,3 m (min.),,in shallow soil pockets on sandstone dominated by Geranium carolinianum & Polygonum douglasii var. spergulariiforme with Grindelia integrifolia,population of 250 plants,
