Accession Number,Verified,Missing Specimen,Family_Genus list::Family,Genus,Qualifier,Species,Authorship Reference::Species Author,Subspecies,Authorship Reference::Subspecies Author,Variety,Authorship Reference::Variety Author,Forma,Authorship Reference::Forma Author,Cultivar,Country,ProvinceState,Location,Geo_LatDegree,Geo_LatMinute,Geo_LatSecond,Geo_LongDegree,Geo_LongMinute,Geo_LongSecond,Geo_LatDecimal,Geo_LongDecimal,Geo_Datum,Geo_CoordinateUncertainty,Geo_Source,Geo_By,Geo_Date,Georeference Notes,UTM,Grid Reference,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Originally identified as,Annotation 1,Annotation 2,Annotation 3,More annotations,Original Herbarium,TypeStatus,Special,Research Annotation,Citations,Genbank,BOLD Number,Loan,Exchange,Curatorial Notes,Taxonomic Updates,Conservation Status,Imaged,Barcoded,Project ID,Funding Project,Reproductive Status,Reproductive Flex,Accession Number
V214192,,,Dryopteridaceae,Dryopteris,,expansa,(C. Presl) Fraser-Jenk. & Jermy,,,,,,,,Canada,British Columbia,"Texada Island, raven bay road",49,44,,-124,30,,49.733333,-124.5,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"on moist creekside in Pseudotsuga menziesii/Thuja plicata/Polystichum munitum stand48|slope 15%,aspect 80 degress east",30 m,1997 Jun 22,Harvey Janszen,"P. Janszen, M. Fontaine",2757B,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,,,,,,V214192
V214155,,,Juncaceae,Luzula,,parviflora,(Ehrh.) Desv.,fastigiata,(E.Mey.) Hamet-Ahti,,,,,,Canada,British Columbia,"Texada Island, raven bay road",49,44,,-124,30,,49.733333,-124.5,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,on moist creekside in Pseudotsuga menziesii etc.stand,30 m,1997 Jun 22,Harvey Janszen,"P. Janszen, M. Fontaine",2758A,Harvey Janszen,,"slope 15%,aspect 80 degrees east",,,,,,,,,,,,,,,,,,,,,,,,V214155
V214206,,,Ericaceae,Arctostaphylos,,columbiana,Piper,,,,,,,,Canada,British Columbia,"Texada Island, at old fire lookout tower on north peak of Pocahontas Ridge",49,42,,-124,26,,49.7,-124.433333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"Rock cliffs with ledges of shallow soil in Pseudotsuga menziesii stand; slope 50%, asp. 240 degrees southwest",480 m,1997 Jun 22,Harvey Janszen,"P. Janszen, M. Fontaine",2772,Harvey Janszen,1997,,Arctostaphylos columbiana by Harvey Janszen 1997,,,,,,,B.C.C.D.C.,Leaf material sampled in 2013 by Leo K. Leung for herbarium DNA barcoding by Erin R. Manton (University of British Columbia),,,,,,,,,Yes,Yes,Essie1,,,,V214206
V214157,,,Cyperaceae,Carex,,limosa,L.,,,,,,,,Canada,British Columbia,,49,34,,-124,16,,49.566667,-124.266667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,on sphagnum mat at edge of shallow lake with Carex lasiocarpa & Scrirpus acutus,625 m,1997 Jun 23,Harvey Janszen,"P. Janszen, M. Fontaine",2780,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,,,,,,V214157
V214207,7/4/2019,,Ophioglossaceae,Ophioglossum,,pusillum,Raf.,,,,,,,,Canada,British Columbia,"Texada Island, Anderson Bay road, 4.5km  southeast of Angel Lake turnoff",49,34,,-124,13,,49.566667,-124.216667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,10U 41121 549166,,weedy drainage channel between low basalt ridges dominated by Leucanthemum vulgare & Botrychium multifidum,610 m,1997 Jun 23,Harvey Janszen,"P. Janszen, M. Fontaine",2782,Harvey Janszen,1997,slope 10%; aspect 310 degrees northwest; Population of ca. 600 plants; also with Botrychium ascendens,Ophioglossum pusillum by Harvey Janszen 1997,,,,,British Columbia Conservation Data Centre,,,,,,,"Returned
On loan to BIOL 210, 2019 Feb (UBC_2019_V2) - Returned 2019 Jun

Returned
On loan to BIOL 210, 2018 Jan - Returned 2018 Apr

Returned
on loan to BOTANY BIOL 210, 2017 Mar - Returned 2017 Apr

Returned
On loan to BOTANY BIOL 210, 2016 Mar -  Returned 2016 Mar

Returned
On loan to BIOL 210, 2014 Mar 06-Returned on 2014 Mar 13",,,,,Yes,Yes,,,,,V214207
V214159,,,Cyperaceae,Carex,,tracyi,Mack.,,,,,,,,Canada,British Columbia,"Texada Island, anderson bay road, 6.0km south of hydro transmission line cut",49,35,,-124,13,,49.583333,-124.216667,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,on dry swale dominated by Ranunculus flammula & Galium trifidum,600 m,1997 Jun 23,Harvey Janszen,"P. Janszen, M. Fontaine",2788,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,,,,,,V214159
V214160,,,Blechnaceae,Woodwardia,,fimbriata,Sm.,,,,,,,,Canada,British Columbia,"Texada Island, mouat bay, ca. 30m. from south shore",49,38,7,-124,26,9,49.635278,-124.435833,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"on slumped earth hollows in Thuja plicata,etc. forest",15 m,1997 Jul 17,Harvey Janszen,"P. Janszen, M. Fontaine",2802,Harvey Janszen,,"slope 30%,asp.s80w;6 crowns in 2mx4m area",,,,,,,,,,,,,,,,,,,,,,,,V214160
V214161,,,Poaceae,Glyceria,,borealis,(Nash) Batch.,,,,,,,,Canada,British Columbia,"Texada Island, first lake",49,38,38,-124,21,28,49.643889,-124.357778,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"in deep open lake water,with Nuphar polysepalum",390 m,1997 Aug 21,Harvey Janszen,"P. Janszen, M. Fontaine",2849,Harvey Janszen,,,,,,,,,,,,,,,,,,,,,Yes,bnbgrass,,Flower,anthers,V214161
V214162,,,Asteraceae,Jaumea,,carnosa,(Less.) A. Gray,,,,,,,,Canada,British Columbia,"Texada Island, sturt bay lagoon",49,45,48,-124,34,39,49.763333,-124.5775,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,on mud flats & bank with Salicornia virginiana etc.,0 m,1997 Aug 23,Harvey Janszen,"P. Janszen, M. Fontaine",28653,Harvey Janszen,,ca.10 patches covering a total of 100m.square,,,,,,,,,,,,,,,,,,,,,,,,V214162
V214197,,,Asteraceae,Aster,,subspicatus,Nees,,,,,,,,Canada,British Columbia,"Texada Island, central road at Imperial Cement Quarry",49,44,19,-124,31,53,49.738611,-124.531389,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,10U 38965 551071,,"On dry roadside and in Carex obnupta fen; Associates: Carex rostrata, C. sitchensis, Lysichiton americanum, Glyceria grandis",100 m,1997 Aug 23,Harvey Janszen,"P. Janszen, J. Jamison",2867,Harvey Janszen,,,,,,,,,,,,,,,"Returned
On loan to BC CDC, 2016 Oct - Returned 2016 Nov",,(Specimen not annotated) Symphyotrichum douglasii Det. Jamie D. Fenneman 2016,,,,,CDC2016,,,,V214197
V214424,,,Dryopteridaceae,Dryopteris,,arguta,(Kaulf.) Maxon,,,,,,,,Canada,British Columbia,"Ballenas Islands, Southeast Island",49,20,,-124,8,,49.333333,-124.133333,Unknown,,Verbatim from Collector/Sheet,David Rowswell,2018,,,,"open,rich,east facing grassy bank",5 m,1998 Apr 21,Harvey Janszen,Jennifer L. Penny,2877,Harvey Janszen,,"slope 15 degrees,aspect 102",,,,,,,,,,,,,,,,,,,,,,,,V214424
V219134,1/18/2022,,Onagraceae,Clarkia,,purpurea,(Curtis) A. Nelson & J.F. Macbr.,quadrivulnera,(Douglas) F.H. Lewis & M.E.Lewis,,,,,,Canada,British Columbia,"Saturna Island, Brown Ridge, about 50 km south of Vancouver",48,46,,-123,10,,48.766667,-123.166667,NAD83,,Verbatim from Collector/Sheet,Christina Gentle,2022,"UTM conversion crossed zone boundaries; therefore this specimen was assigned the same coordinates as V223832, given that it has the same locality description and was collected one year later, by the same collector",10W 488406 540206,,"Dry, open grassy bluff near ridge line; 10% slope on ridge to 50% downhill, aspect S10W; Dominants: Anthoxanthum odoratum, Bromus sterilis, Bromus hordeaceus; Associates: Vulpia myurus, Aira caryophyllea",,1999 Jun 22,Harvey Janszen,,2890,Frank Lomer,1999,approximately 200 plants observed over 200 x 30 m,Clarkia purpurea subsp. quadrivulnera by Frank Lomer 1999,,,,,,,,CCDB-24905-D11 DNA Barcode of Life: Tissue sampled by the Biodiversity Institute of Ontario BIOUG 2014,,,CCDB-24905-D11,,,,,"BC Red list, S2 (2019), G5T5 (2016)",Yes,,2021Reds,,,,V219134
V223832,1/18/2022,,Onagraceae,Clarkia,,purpurea,(Curtis) A. Nelson & J.F. Macbr.,quadrivulnera,(Douglas) F.H. Lewis & M.E.Lewis,,,,,,Canada,British Columbia,"Saturna Island, Brown Ridge",48,46,,-123,10,,48.766667,-123.166667,NAD83,,Verbatim from Collector/Sheet,David Rowswell,2018,,10 448406 5402060,,"On dry, open, south-facing, grassy bluff near ridge line; slope 10% on ridge to 50% downhill; aspect S10W; Dominants: Anthoxanthum odoratum; Associates: Vulpia myuros, Aira caryophyllea",320 m,1998 Jun 14,Harvey Janszen,,2890,Harvey Janszen,1998,"approximately 200 plants over a 200m x 30m area, Bromus sterilis, B. hordeaceus; Frank Lomer calls it subsp. quadrivulnera, April 2000",Clarkia purpurea subsp. quadrivulnera by Harvey Janszen 1998,,,,,British Columbia Conservation Data Centre,,,CCDB-24905-C11 DNA Barcode of Life: Tissue sampled by the Biodiversity Institute of Ontario BIOUG 2014,,,CCDB-24905-C11,,,,,"BC Red list, S2 (2019), G5T5 (2016)",Yes,,2021Reds,,,,V223832
V252649,6/23/2022,,Anacardiaceae,Toxicodendron,,diversilobum,(Torr. & A. Gray) Greene,,,,,,,,Canada,British Columbia,"Valdes Island, Lyackson FN woodlot, southwest of Wakes Cove Provincial Park",49.11109,,,-123.70697,,,49.11109,-123.70697,Unknown,,Verbatim from Collector/Sheet,Erika Brauner,2022,,,,Coastal bluff,47 m,2017 Jul 28,Andrew Simon,Harvey Janszen,V-158,Andrew Simon,2017,,Toxicodendron diversilobum by Andrew Simon  2017,,,,,,,,,,,,,,,,,,Yes,ASimon2017,,,,V252649
V252650,6/23/2022,,Caryophyllaceae,Stellaria,,crispa,Cham. & Schltdl.,,,,,,,,Canada,British Columbia,"Valdes Island, Lyackson FN woodlot, southwest of Wakes Cove Provincial Park",49.117108,,,-123.704485,,,49.117108,-123.704485,Unknown,,Verbatim from Collector/Sheet,Erika Brauner,2022,,,,Humid mixed forest,60 m,2017 Jul 28,Andrew Simon,Harvey Janszen,V-159,Andrew Simon,2017,collected with permission from Lyackson FN,Stellaria crispa by Andrew Simon  2017,,,,,,,,,,,,,,,,,,Yes,ASimon2017,,,,V252650
