area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed,review_status
ogi,Asteraceae,Tanacetum parthenium,Tanacetum parthenium,"FL Galiano, HJ N Pender. Escaping in waste areas; HJ Otter Bay Ferry Landing, waste areas Magic Lake and Neptune Estates 1975. FL notes growing on sandstone ledges above shore at Sturdies Bay ferry terminal.",,,AS,complete
ogi,Asteraceae,Tanacetum vulgare,Tanacetum vulgare,"Roadside and waste places, Saturna, Galiano.",,,AS,complete
ogi,Asteraceae,Taraxacum erythrospermum,Taraxacum erythrospermum,"Lawns, roadsides, waste areas, grassy bluffs, all islands.",,Taraxacum needs attention; but probably beyond scope of this project,AS,in progress
ogi,Asteraceae,Taraxacum officinale,Taraxacum officinale,"Lawns cultivated ground and disturbed places, all islands.",,Taraxacum needs attention; but probably beyond scope of this project,AS,in progress
ogi,Asteraceae,Tragopogon porrifolius,Tragopogon porrifolius,"Roadside, fields, all islands.",,,,remaining
ogi,Asteraceae,Tragopogon pratensis,Tragopogon pratensis,"HJ Roadside and fields, Saturna 1976.",,,,remaining
ogi,Asteraceae,Tripleurospermum inodorum,Tripleurospermum inodorum,"HJ vacant lot Magic Lake, N Pender 1981.",,,,remaining
ogi,Asteraceae,Tussilago farfara,Tussilago farfara,Robinson inland cliffs North Galiano 2019. Not on later lists? Photo on inaturalist looks convincing.,,no longer on iNat; must have been reidentified...?; remove AS,AS,in progress
ogi,Asteraceae,Uropappus lindleyi,Uropappus lindleyi,"Steep, rocky slopes, Saturna, Galiano, N Pender.",,,AS,complete
ogi,Athyriaceae,Athyrium filix-femina ssp. cyclosorum,Athyrium filix-femina cyclosorum,"Common throughout in moist forest, wetland edges, seepy spots.",,,AS,complete
ogi,Balsaminaceae,Impatiens capensis,Impatiens capensis,"Rocky shoreline and beach Winter Cove, Saturna HJ 1994. Zika Galiano 2004. iNaturalist report Morning Beach, Galiano 2020.",,,,remaining
ogi,Balsaminaceae,Impatiens glandulifera,Impatiens glandulifera,"Zika 50 m from trailhead on Grace Trail, west of Georgeson Bay Road, northeast slope of Mount Galiano, southeast end of Galiano.",,,,remaining
ogi,Berberidaceae,Achlys triphylla,Achlys triphylla,"Shady, moist woods, occasionally in open, moist places and along streams. Forming dense stands under Alder regen. All islands.",,,AS,complete
ogi,Berberidaceae,Berberis aquifolium,Berberis aquifolium,"Woods, thickets, and open exposed slopes, all islands.",,,AS,complete
ogi,Berberidaceae,Berberis nervosa,Berberis nervosa,"Dry, open woods, all islands.",,,AS,complete
ogi,Betulaceae,Alnus rubra,Alnus rubra,"Lowland early second growth, forest edges. All islands",,,AS,complete
ogi,Betulaceae,Betula papyrifera,Betula papyrifera,Rare on islands. Galiano. Single occurance Samuel Island.,,review,AS,in progress
ogi,Betulaceae,Corylus cornuta ssp. californica,Corylus cornuta californica,"TRA Gallager Bay Rd, Mayne.Check id of HJ collection same place.",,,AS,complete
ogi,Blechnaceae,Struthiopteris spicant,Struthiopteris spicant,"All islands, common in mesic to subhygric forest, usually with North exposure.",,,,remaining
ogi,Boraginaceae,Amsinckia intermedia,Amsinckia menziesii intermedia,"HJ Dinner Point, Mayne 1980. HJ Saturna 1975.",,,,remaining
ogi,Boraginaceae,Amsinckia lycopsoides,Amsinckia lycopsoides,Macoun Mayne 1913.,,,,remaining
ogi,Boraginaceae,Amsinckia menziesii,Amsinckia menziesii,"Dry, open places, rocky islets, all islands.",,,AS,complete
ogi,Boraginaceae,Amsinckia retrorsa,Amsinckia menziesii menziesii,"HJ Oaks Bluff, N Pender 1979, HJ Bellhouse Point 1984. According to Matt Guillams from Santa Barbara Botanic Garden who is reviewing the UBC specimens, we have only A. menziesii in BC with no good specimens of A. retrorsa.",,removed from the BC Flora FL; remove from list,FL,in progress
ogi,Boraginaceae,Amsinckia spectabilis,Amsinckia spectabilis,HJ Cabbage Island. 1995.,,,,remaining
ogi,Boraginaceae,Borago officinalis,Borago officinalis,"AS Cable Bay Farm, Galiano 2018. Persisting in old gardens and flower beds Saturna.",,,,remaining
ogi,Boraginaceae,Cynoglossum officinale,Cynoglossum officinale,"AS Mt Heck,Mayne 2020.",,,,remaining
ogi,Boraginaceae,Echium vulgare,Echium vulgare,"Clement roadside Sturdies Bay, Galiano 1978. AW same location?, Galiano 1975. HJ Primal Point, Galiano 1975.",,,,remaining
ogi,Boraginaceae,Myosotis arvensis,Myosotis arvensis,"Macoun Mayne 1914, roadsides and waste areas, Mayne, Galiano, N Pender.",,,AS,complete
ogi,Boraginaceae,Myosotis discolor,Myosotis discolor,"Grassy bluffs, rocky meadows and disturbed open places, all islands.",,,AS,complete
ogi,Boraginaceae,Myosotis laxa,Myosotis laxa,"Moist soils, fen edges and shallow water, all islands.",,,AS,complete
ogi,Boraginaceae,Myosotis micrantha,Myosotis stricta,"A&OC Tumbo Island 1976, FL Oaks Bluff, N Pender 2006.",,,,remaining
ogi,Boraginaceae,Myosotis scorpioides,Myosotis scorpioides,"HJ wet farm fields, Galiano 1975",,,AS,complete
ogi,Boraginaceae,Myosotis sylvatica,Myosotis sylvatica,AW collection Georgeson Bay Road not found at V. re-identified?,,,,remaining
ogi,Boraginaceae,Nemophila parviflora var. parviflora,Nemophila parviflora parviflora,"Moist open forest and edges, all islands.",,,AS,complete
ogi,Boraginaceae,Nemophila pedunculata,Nemophila pedunculata,"Grassy ridges and bluffs, Saturna, Galiano",,,AS,complete
ogi,Boraginaceae,Phacelia linearis,Phacelia linearis,"Grassy bluffs, Saturna, Mayne, Galiano.",,,,remaining
ogi,Boraginaceae,Plagiobothrys scouleri,Plagiobothrys scouleri,"Vernal seeps Saturna, Mayne",,,AS,complete
ogi,Boraginaceae,Plagiobothrys tenellus,Plagiobothrys tenellus,"Grassy bluffs, all islands.",,,AS,complete
ogi,Boraginaceae,Symphytum asperum,Symphytum asperum,"FL edge of cleared lot Otter Bay, N Pender 2006.",,,,remaining
ogi,Boraginaceae,Symphytum officinale,Symphytum officinale,"Adventive or escaped along roadsides and waste places Saturna, Mayne, Galiano, N Pender.",,,,remaining
ogi,Boraginaceae,Symphytum uplandicum,Symphytum × uplandicum,Galiano details? Commonly grown as a permaculture plant in the SGI (usually as the Bocking selections) and may escape and persist; spreads by root fragments; probably retain.,,,,remaining
ogi,Brassicaceae,Arabidopsis thaliana,Arabidopsis thaliana,"Waste ground, gardens, Mayne, Saturna, N Pender",,,AS,complete
ogi,Brassicaceae,Arabis eschscholtziana,Arabis eschscholtziana,"Grassy bluffs and ledges. HJ Taylor Point, Monarch Head, Saturna. HJ Mt Galiano 1981, Mt Sutil. HJ Helen Point, Mayne. HJ N Pender 1980. HJ Prevost Island 1981.",,,AS,complete
ogi,Brassicaceae,Athysanus pusillus,Athysanus pusillus,Grassy bluffs. All islands.,,,AS,complete
ogi,Brassicaceae,Barbarea orthoceras,Barbarea orthoceras,"Roadsides, wet ditches, cultivated ground all islands. HJ Cain Peninsula, Galiano 1981.",,,,remaining
ogi,Brassicaceae,Barbarea verna,Barbarea verna,"AS Mayne, Galiano 2016.",,,,remaining
ogi,Brassicaceae,Barbarea vulgaris,Barbarea vulgaris,"Wet places, Mayne, Galiano",,,,remaining
ogi,Brassicaceae,Brassica juncea,Brassica juncea,RLT Chads Island 1978.,,,,remaining
ogi,Brassicaceae,Brassica rapa,Brassica rapa,"Waste ground, cultivated ground, all islands. TRA Portland Island.",,,,remaining
ogi,Brassicaceae,Cakile edentula,Cakile edentula,"Beaches. TRA Brackman Island, HJ All islands.",,,,remaining
ogi,Brassicaceae,Cakile maritima,Cakile maritima,"Beach HJ Fiddlers Cove, Saturna 1993. Galiano location?",,,,remaining
ogi,Brassicaceae,Capsella bursa-pastoris,Capsella bursa-pastoris,"Roadsides, cultivated ground, all islands.",,,AS,complete
ogi,Brassicaceae,Cardamine flexuosa,Cardamine flexuosa,"Galiano location? AC N Pender 2001. FL Bluffs Park, Galiano 2003.",,,AS,complete
ogi,Brassicaceae,Cardamine hirsuta,Cardamine hirsuta,"AS many sites Galiano 2015, Tessa Wissink S Pender 2020.",,,AS,complete
ogi,Brassicaceae,Cardamine nuttallii,Cardamine nuttallii,"Grassy ridges Saturna, Galiano",,,AS,complete
ogi,Brassicaceae,Cardamine occidentalis,Cardamine occidentalis,"HJ Magic Lake and Browning, N Pender 1983. HJ ER15, Saturna 1985.",,,,remaining
ogi,Brassicaceae,Cardamine oligosperma,Cardamine oligosperma,"Cultivated ground, waste ground, all islands.",,,AS,complete
ogi,Brassicaceae,Cardamine pensylvanica,Cardamine pensylvanica,"Wet to swampy ground, creeks. Saturna, Mayne, Galiano.",,Also found on Prevost (HJ7 observation),"AS, EM",in progress
ogi,Brassicaceae,Descurainia pinnata ssp. brachycarpa,Descurainia pinnata brachycarpa,HJ Cabbage Island beach 1996.,,,,remaining
ogi,Brassicaceae,Draba nemorosa,Draba nemorosa,W.A. Newcombe 1930 two collections Galiano. Not recently located.,,"There were no RBCM specimens of Draba nemorosa from Galiano at RBCM. W.A. Newcombe collected Arabis eschscholtziana from Galiano on April 14, 1930. Perhaps this was a transcription error. FL; this likely reflects an error in the georeferencing of the specimen (V8914), which may have showed up for Galiano Island when we queried GBIF using a polygon; remove record","FL March 30, 2022; AS",in progress
ogi,Brassicaceae,Draba verna,Draba verna,"Dry waste ground, roadsides, all islands",,,,remaining
ogi,Brassicaceae,Erysimum cheiranthoides,Erysimum cheiranthoides,"Occasional escape gardens, ditchs and fields, Saturna, Galiano, N Pender.",,,,remaining
ogi,Brassicaceae,Erysimum cheiri,Erysimum cheiri,"Galiano location? FL Seaside sandstone rocks 60m north of boat dock, just above high tide spray zone, Port Washington N Pender 2006.",,,,remaining
ogi,Brassicaceae,Hesperis matronalis,Hesperis matronalis,"HJ Georgeson Bay, Galiano 1996, HJ N Pender 1993",,,,remaining
ogi,Brassicaceae,Hornungia procumbens,Hornungia procumbens,"A&OC,RTO location witheld Gulf Islands 1982.",,,,remaining
ogi,Brassicaceae,Idahoa scapigera,Idahoa scapigera,"HJ Grassy bluffs Saturna, Galiano",,,AS,complete
ogi,Brassicaceae,Lepidium campestre,Lepidium campestre,"Roadsides and waste areas. Saturna, Galiano.",,,,remaining
ogi,Brassicaceae,Lepidium densiflorum,Lepidium densiflorum,"Grassy bluff above Saturna Beach, Saturna HJ 1973, JP Heck Hill, Mayne 1996, JP Oaks Bluff, N Pender 1996.",s. lat.,,,remaining
ogi,Brassicaceae,Lepidium didymum,Lepidium didymum,"HJ Disturbed ground, East Point Road, Saturna 2009.",,,,remaining
ogi,Brassicaceae,Lepidium heterophyllum,Lepidium heterophyllum,"Huggins Porlier Pass Rd, Galiano iNaturalist observation 2020.",,,,remaining
ogi,Brassicaceae,Lepidium ramosissimum,Lepidium ramosissimum,WAN Galiano location? WAN Java Islets 1934.,,,,remaining
ogi,Brassicaceae,Lepidium strictum,Lepidium strictum,JKH lists for Gulf Islands. No vouchers found.,,,,remaining
ogi,Brassicaceae,Lepidium virginicum,Lepidium virginicum,"Grassy bluffs, dry sandy ground, all islands. Var. menziesii (DC.) Thell.",,,,remaining
ogi,Brassicaceae,Lunaria annua,Lunaria annua,"Heffley Penfold Rd, Galiano 2019. Marginally escaping Saturna.",,,,remaining
ogi,Brassicaceae,Nasturtium microphyllum,Nasturtium microphyllum,"HJ Montague Harbour, Galiano 1979.",,,,remaining
ogi,Brassicaceae,Nasturtium officinale,Nasturtium officinale,"Ditches and ponds, all islands.",,,,remaining
ogi,Brassicaceae,Neslia paniculata,Neslia paniculata,"Gardens, waste ground Saturna, Mayne.",,,,remaining
ogi,Brassicaceae,Raphanus raphanistrum,Raphanus raphanistrum,"Meadows and waste ground, Saturna, N Pender, Galiano.",,,,remaining
ogi,Brassicaceae,Raphanus sativus,Raphanus sativus,"Disturbed ground, gardens, Saturna, Mayne, Galiano.",,,,remaining
ogi,Brassicaceae,Rorippa curvisiliqua,Rorippa curvisiliqua,"Roadsides and fields, Saturna, N Pender.",,,,remaining
ogi,Brassicaceae,Rorippa palustris,Rorippa palustris,"Farm ditches and wet fields, Galiano HJ 1982.",,,,remaining
ogi,Brassicaceae,Sinapis arvensis,Sinapis arvensis,"HJ Browning Harbour, N Pender roadside 1980. Galiano location?",,,,remaining
ogi,Brassicaceae,Sisymbrium altissimum,Sisymbrium altissimum,"Roadsides, waste ground, all islands.",,,,remaining
ogi,Brassicaceae,Sisymbrium officinale,Sisymbrium officinale,"Agricultural weed throughout, all islands.",,,,remaining
ogi,Brassicaceae,Teesdalia nudicaulis,Teesdalia nudicaulis,"Roadsides, parking areas, especially view areas, sandy ground, Saturna, N Pender, Galiano",,,AS,complete
ogi,Brassicaceae,Thlaspi arvense,Thlaspi arvense,"Gardens, farm yards, especially where hay is fed, Saturna, N Pender, S Pender.",,,AS,complete
ogi,Brassicaceae,Thysanocarpus curvipes,Thysanocarpus curvipes,"Grassy bluffs and ledges, all islands.",,,AS,complete
ogi,Brassicaceae,Turritis glabra,Turritis glabra,"Grassy bluffs and ledges, all islands.",,,AS,complete
ogi,Cactaceae,Opuntia fragilis,Opuntia fragilis,"Grassy bluffs and ledges, rocky islets; all islands.",,,,remaining
ogi,Campanulaceae,Campanula medium,Campanula medium,"C. medium L., persicifolia L., and rapunculoides L., glomerata L. persisting and marginally escaped and naturalized from area.",,,,remaining
ogi,Campanulaceae,Campanula rotundifolia,Campanula rotundifolia,"HJ Galiano Cemetary 1975, roadside Mayne 1975 rare.",,Campanula persicifolia apparently also occurs in these environs and may be conflated; check,AS,in progress
ogi,Campanulaceae,Campanula scouleri,Campanula scouleri,"Open forest, ridgelines, all islands.",,,AS,complete
ogi,Campanulaceae,Triodanis perfoliata,Triodanis perfoliata,"Open, grassy bluffs and ledges, all islands.",,,,remaining
ogi,Cannabaceae,Humulus lupulus var. lupulus,Humulus lupulus lupulus,"Valley Rd, Galiano iNaturalist report 2019.",,,,remaining
ogi,Caprifoliaceae,Centranthus ruber,Centranthus ruber,"Shoreline rock around Saturna Point. Ganner Drive, Galiano 2019.",,,,remaining
ogi,Caprifoliaceae,Dipsacus fullonum,Dipsacus fullonum,"Marginally escaping Galiano, Saturna.",,,,remaining
ogi,Caprifoliaceae,Linnaea borealis ssp. longiflora,Linnaea borealis longiflora,"Open, mesic forest, all islands.",,,,remaining
ogi,Caprifoliaceae,Lonicera ciliosa,Lonicera ciliosa,"Open, mesic forest, all islands.",,,AS,complete
ogi,Caprifoliaceae,Lonicera hispidula,Lonicera hispidula,"Mesic forest, all islands.",,,AS,complete
ogi,Caprifoliaceae,Lonicera involucrata var. involucrata,Lonicera involucrata involucrata,Rare on outer islands; known from brackish low ground on Cabbage island. FL Prevost 2004.,,,AS,complete
ogi,Caprifoliaceae,Plectritis brachystemon,Plectritis congesta brachystemon,Galiano location? A Hill collections Mayne and Curlew 1899.,,,,remaining
ogi,Caprifoliaceae,Plectritis congesta,Plectritis congesta,"Rocky shorelines and cliffs, grassy bluffs, all islands.",,,"AS, FM",complete
ogi,Caprifoliaceae,Plectritis macrocera,Plectritis macrocera,"HJ Bodega Ridge, Galiano 2004",,Plectritis macrocera mireported from Bodega Ridge (=B.brachystemon),"AS, FM",in progress
ogi,Caprifoliaceae,Symphoricarpos albus,Symphoricarpos albus,"Open ground, woods, and thickets, all islands.",,,,remaining
ogi,Caprifoliaceae,Symphoricarpos mollis var. hesperius,Symphoricarpos mollis hesperius,"Moist mixed forest edge and adjacent gravelly slopes, Saturna, Mayne, Galiano",,,,remaining
ogi,Caprifoliaceae,Valerianella locusta,Valerianella locusta,FL Prevost Island 2004. Portland Island iNaturalist observation 2021.,,,,remaining
ogi,Caryophyllaceae,Arenaria serpyllifolia,Arenaria serpyllifolia,"Dry, open bluffs, dry slopes, all islands.",,,,remaining
ogi,Caryophyllaceae,Cerastium arvense ssp. strictum,Cerastium arvense strictum,Grassy bluffs; rocky hillsides and dry to moist grassland; common throughout. All islands.,,,,remaining
ogi,Caryophyllaceae,Cerastium brachypodum,Cerastium brachypodum,"HJ East Point, Saturna 1996 On erroded earth just above rocky seashore recently colonized by adventives; no direct associates but near Sagina decumbens, Plantago elongata & Myosurus minimus.",,,,remaining
ogi,Caryophyllaceae,Cerastium fontanum ssp. vulgare,Cerastium holosteoides,Lawns and gardens; weedy and common throughout. All islands.,,,,remaining
ogi,Caryophyllaceae,Cerastium glomeratum,Cerastium glomeratum,"Disturbed ground, fields and waste places throughout. All islands.",,,,remaining
ogi,Caryophyllaceae,Cerastium pumilum,Cerastium pumilum,"FL East Point, Saturna, Tumbo 1999 and S Pender 2003. FL Prevost Island 2004.",,,,remaining
ogi,Caryophyllaceae,Cerastium semidecandrum,Cerastium semidecandrum,"FL East Point, Brown Ridge, Saturna 1999. RTO Oak Bluffs N Pender 1983.",,,,remaining
ogi,Caryophyllaceae,Dianthus armeria,Dianthus armeria,"Frequently escaping., dry fields, grassy bluffs. Saturna, Mayne, Galiano.",,,,remaining
ogi,Caryophyllaceae,Honckenya peploides ssp. major,Honckenya peploides major,HJ Tumbo Island 2007. With Salicornia on mud flats.,,,,remaining
ogi,Caryophyllaceae,Lychnis coronaria,Silene coronaria,"Roadsides and waste ground, spreading agressivly into native bluff grasslands. All islands.",,,AS,complete
ogi,Caryophyllaceae,Moehringia macrophylla,Moehringia macrophylla,"Shaded to open woods and rocky slopes, all islands.",,,,remaining
ogi,Caryophyllaceae,Moenchia erecta,Moenchia erecta,"AS Lions Field, Galiano (iNaturalist obs.)",,,,remaining
ogi,Caryophyllaceae,Sabulina macra,Sabulina macra,"TRA S Pender 1959. HJ Brown Ridge, Saturna 1976. A&OC Gooch Island 1982.",,,,remaining
ogi,Caryophyllaceae,Sagina apetala,Sagina apetala,"FL 2003 Otter Bay Marina, Port Browning N&S Pender, Bluffs Park, Galiano",,,,remaining
ogi,Caryophyllaceae,Sagina decumbens ssp. occidentalis,Sagina decumbens occidentalis,"Straley Bellhouse Park 1988. FL Tumbo 1999.TRA Gowland Point, S Pender 1957.",,,,remaining
ogi,Caryophyllaceae,Sagina maxima ssp. crassicaulis,Sagina maxima crassicaulis,"HJ Saturna 1998. FL Montague, Galiano 2014. FL & HLR S Pender. Macoun Mayne 1914.",,,,remaining
ogi,Caryophyllaceae,Sagina procumbens,Sagina procumbens,"Wet, grassy spots Saturna, Mayne, Galiano, S Pender",,,,remaining
ogi,Caryophyllaceae,Scleranthus annuus,Scleranthus annuus,"HJ 2013-2020 Picnic area Winter Cove Park,Saturna. Galiano location? Collector?",,,,remaining
ogi,Caryophyllaceae,Silene antirrhina,Silene antirrhina,"Grassy bluffs, all islands. Macoun Mayne 1914.",,,,remaining
ogi,Caryophyllaceae,Silene gallica,Silene gallica,"Grassy bluffs, occasionaly cultivated ground. Saturna, Mayne, N Pender.",,,,remaining
ogi,Caryophyllaceae,Silene latifolia,Silene latifolia,"Roadsides and waste ground. Saturna, Mayne, Galiano.",,,,remaining
ogi,Caryophyllaceae,Silene noctiflora,Silene noctiflora,Disturbed ground Otter Bay Ferry Landing HJ 1999.,,,,remaining
ogi,Caryophyllaceae,Silene vulgaris,Silene vulgaris,HJ roadside Montague Harbour 1975.,,,,remaining
ogi,Caryophyllaceae,Spergula arvensis,Spergula arvensis,"Cultivated land, gardens, waste ground. All islands.",,,,remaining
ogi,Caryophyllaceae,Spergularia canadensis var. occidentalis,Spergularia canadensis occidentalis,"Tidal mud flats, all islands.",,,,remaining
ogi,Caryophyllaceae,Spergularia macrotheca,Spergularia macrotheca,"Mud flats and salt marshes, Mayne, Galiano, S Pender.",,,,remaining
ogi,Caryophyllaceae,Spergularia rubra,Spergularia rubra,"Roadside and waste ground, all islands.",,,,remaining
ogi,Caryophyllaceae,Spergularia salina,Spergularia marina,"Mud flats and salt marshes,",,,,remaining
ogi,Caryophyllaceae,Stellaria borealis ssp. sitchana,Stellaria borealis sitchana,"Edges of fens, lakes and other wetlands. All Islands.",,,,remaining
ogi,Caryophyllaceae,Stellaria crispa,Stellaria crispa,"Deep, moist woods and stream banks. All islands.",,,,remaining
ogi,Caryophyllaceae,Stellaria graminea,Stellaria graminea,"AS Millard Learning Centre, Galiano 2016.",,,,remaining
ogi,Caryophyllaceae,Stellaria longipes,Stellaria longipes,"Questionable collection Lyall Harbour, Saturna 1975.",,,,remaining
ogi,Caryophyllaceae,Stellaria media,Stellaria media,"Disturbed moist ground, all islands.",,,,remaining
ogi,Caryophyllaceae,Stellaria nitens,Stellaria nitens,Grassy bluffs and gravelly soil; all islands.,,,,remaining
ogi,Celastraceae,Paxistima myrsinites,Paxistima myrsinites,"Rocky ledges in forest, all islands.",,,,remaining
ogi,Ceratophyllaceae,Ceratophyllum demersum,Ceratophyllum demersum,"TRA Greenburn Lake, S Pender.",,,,remaining
ogi,Ceratophyllaceae,Ceratophyllum echinatum,Ceratophyllum echinatum,"HJ Greenburn Lake, S Pender 1975. HJ Missing Link Fen, Saturna 1996. Sphagnum Bog, Galiano HJ & JP 1996",,,,remaining
ogi,Convolvulaceae,Calystegia sepium,Calystegia sepium,"Moist soils, along roads, ditches, hedgerows and waste places, all islands.",,,,remaining
ogi,Convolvulaceae,Calystegia silvatica,Calystegia silvatica,Wright Galiano 2017; location?,,,,remaining
ogi,Convolvulaceae,Convolvulus arvensis,Convolvulus arvensis,"Fields and disturbed ground, all islands.",,,,remaining
ogi,Convolvulaceae,Cuscuta epithymum,Cuscuta epithymum,"Mayne, Eastham lists in Prelim Flora of VI and QCI. collection date? location?",,,,remaining
ogi,Convolvulaceae,Cuscuta pacifica var. pacifica,Cuscuta pacifica pacifica,"On Salicornia in salt marshes, all islands.",,,,remaining
ogi,Cornaceae,Cornus nuttallii,Cornus nuttallii,"Mesic forest; common on Galiano becoming very rare at southeast end of chain, Saturna and South Pender.",,,AS,complete
ogi,Cornaceae,Cornus stolonifera,Cornus sericea,"Moist places along streams, lakes and boggy areas, never common on outer Gulf Islands.",,,AS,complete
ogi,Crassulaceae,Crassula connata,Crassula connata,"Grassy bluffs and ledges, East Point, Potatoe Hill and Brown Ridge, Saturna. Oaks Bluff, N Pender.Bellhouse Point, Galiano. NW cliffs, Valdez.",,,,remaining
ogi,Crassulaceae,Sedum acre,Sedum acre,"Esacping and marginally persisting, Galiano, Mayne, N Pender.",,,,remaining
ogi,Crassulaceae,Sedum album,Sedum album,"Rocky slopes above sea, N Pender, Galiano.",,Also on north east point of Prevost (HJ7 obs),EM,in progress
ogi,Crassulaceae,Sedum forsterianum,Petrosedum forsterianum,AS Galiano DL57 and Sphagnum bog ER128.,,,,remaining
ogi,Crassulaceae,Sedum lanceolatum,Sedum lanceolatum,Grassy buff ledges. All islands,recorded by HJ: Sedum lanceolatum var. nesioticum; Sedum lanceolatum var. nesioticum not recognized in FPNW2,,,remaining
ogi,Crassulaceae,Sedum spathulifolium,Sedum spathulifolium,"Coastal cliffs, ledges, and rocky outcrops; common throughout, all islands.",,,,remaining
ogi,Crassulaceae,Sedum stenopetalum,Sedum stenopetalum,Hill Mayne 1895 location?,,,,remaining
ogi,Cucurbitaceae,Marah oreganus,Marah oregana,"TRA S Pender, HJ site relocated 1996 - owners report plant disappeared. HJ&JP shoreline below Jan Kirkby home N Pender 1996.",,,,remaining
ogi,Cupressaceae,Juniperus communis var. kelleyi,Juniperus communis kelleyi,"This is present at St. John Point on Mayne Island, on the tip of the southeast-facing peninsula, along with Juniperus maritima (scopulorum) AS.",,,,remaining
ogi,Cupressaceae,Juniperus scopulorum,Juniperus scopulorum,"Rocky points, low, open south shorelines. Occasionaly in upland forest close to sea. Some Galiano reports as J. maritima. iNaturalist reports N Pender, Saturna, Galiano, Mayne as J. maritima.",,"""Genetically this is J. maritima, but you follow the Flora of the PNW (2nd Ed.) so this is fine with the note they are the same thing."" FL E-Flora BC and other PNW collections are using J. maritima",FL,in progress
ogi,Cupressaceae,Thuja plicata,Thuja plicata,"Moist bottom lands to rarely dry, exposed ridges; common throughout. All islands.",,,AS,complete
ogi,Cyperaceae,Bolboschoenus maritimus ssp. paludosus,Bolboschoenus maritimus paludosus,"Fens with salt water intrusion in Winter Cove area, Cabbage Island. All islands.",,,,remaining
ogi,Cyperaceae,Carex aquatilis var. dives,Carex aquatilis dives,"AS Bog in DL66 also farm fields SE of there, Galiano. (Comp C. pellita?) AS Mayne 2019 location?",,,,remaining
ogi,Cyperaceae,Carex arcta,Carex arcta,"Sedge fens and bogs throughout, all islands",,,,remaining
ogi,Cyperaceae,Carex aurea,Carex aurea,"Wet, grassy places, meadows. Mayne, Galiano, North and South Pender.",,,,remaining
ogi,Cyperaceae,Carex canescens ssp. canescens,Carex canescens canescens,"Lake shores and floating vegetation mats. Saturna, Galiano, South Pender.",,,,remaining
ogi,Cyperaceae,Carex crawfordii,Carex crawfordii,FL Prevost 2006. HJ Mayne 1979.,,,,remaining
ogi,Cyperaceae,Carex cusickii,Carex cusickii,"Wet meadows and fens Saturna, North and South Pender, Mayne. HJ DL84, Galiano 1981. ER 128 Sphagnum bog, Galiano.",,,,remaining
ogi,Cyperaceae,Carex deweyana,Carex deweyana,"Common moist woodland, all islands. =Carex leptopoda? See Wilson et al. (2008)",,,,remaining
ogi,Cyperaceae,Carex diandra,Carex diandra,"AS ER 128 Sphagnum Bog, Galiano 2017.",,"""I would delete these until confirmed. They are all doubtful to me: Carex diandra"" FL ""Definitely not Saanich, will get Andrew to review the Galiano record. Could be C. cusickii."" HJ "" –""this report is based on an observation of an immature specimen from the Galiano bog. Judith Holm may have also collected material. Barbara Wilson has commented that it is plausible yet immature. I would be comfortable removing this record until the species can be confirmed."" AS","HJ, FL, AS",in progress
ogi,Cyperaceae,Carex echinata,Carex echinata,"Sedge fens Saturna, Galiano ssp echinata and phyllomanica both present.",,,,remaining
ogi,Cyperaceae,Carex exsiccata,Carex exsiccata,"Fens and lake margins throughout, all islands AC Portland Island 1972. TCB Samuel Island 1975.",,"""C. vesicaria not = C. exsiccata – edited to exsiccata relatively widespread, C. vesicaria relatively less common."" HJ",HJ,in progress
ogi,Cyperaceae,Carex feta,Carex feta,"Wilber's Bog, Mayne Island. poss re-id C. crawfordii.?",,,,remaining
ogi,Cyperaceae,Carex flava,Carex flava,"Farm fields, district lot 51, Galiano",,,,remaining
ogi,Cyperaceae,Carex hassei,Carex hassei,FL N Pender roadside ditch 2006,,,,remaining
ogi,Cyperaceae,Carex hendersonii,Carex hendersonii,"Moist Alder-Sword Fern woodlands, all islands.",,,,remaining
ogi,Cyperaceae,Carex inops ssp. inops,Carex inops inops,"Open, south facing bluffs, grassy slopes, all islands.",,,,remaining
ogi,Cyperaceae,Carex kelloggii var. impressa,Carex kelloggii impressa,"Wet meadows and bogs, all islands.",,,,remaining
ogi,Cyperaceae,Carex kelloggii var. limnophila,Carex kelloggii limnophila,"Sedge fens, all islands.",,,,remaining
ogi,Cyperaceae,Carex leporina,Carex leporina,"Moist meadows and fields, all islands; HLR reported as C. tracyi; Retreat Cove; Shore drainage, swampy area with Juncus, grasses, Veronica, Ranuculus, open, flat. HJ DL51 fields Galiano 1979. S. Pender Calder & Mackay 1961, J. Macoun 1914 location? HJ & JP Wilber's Bog, Mayne 1996. C. tracyi not recognized by H&C2018.",,,,remaining
ogi,Cyperaceae,Carex leptalea,Carex leptalea,"Sphagnum bogs, Galiano HJ 1979.",,,,remaining
ogi,Cyperaceae,Carex leptopoda,Carex leptopoda,"AS Dinner Point, Mayne 2019.",,,,remaining
ogi,Cyperaceae,Carex lyngbyei ssp. cryptocarpa,Carex lyngbyei,"Seepy, protected shorelines all islands.",not in FPNW2,,,remaining
ogi,Cyperaceae,Carex macrocephala,Carex macrocephala,Erhard Dionisio Point sandy shore Galiano 2013.,,,,remaining
ogi,Cyperaceae,Carex obnupta,Carex obnupta,"Common in sedge fens, all islands.",,,,remaining
